# Rime user dictionary
#@/db_name	terra_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	4257
#@/user_id	e046fdd6-b287-4fb1-baa6-1a5de5d90fd4
a1 luo2 ke1 	阿羅科	c=1 d=0.802519 t=4257
a5 	啊	c=1 d=2.78852e-06 t=4257
ai4 hao4 	愛好	c=1 d=0.0163259 t=4257
ai4 hao4 zhe3 	愛好者	c=2 d=0.419475 t=4257
ai4 ren2 	愛人	c=1 d=1.24671e-06 t=4257
an1 pai2 	安排	c=1 d=0.000117221 t=4257
an1 quan2 	安全	c=1 d=0.00481991 t=4257
an4 	按	c=2 d=0.998349 t=4257
an4 li4 	案例	c=1 d=2.44226e-05 t=4257
an4 zhao4 	按照	c=0 d=0.000400597 t=4257
ba1 	吧	c=4 d=0.354453 t=4257
ba3 	把	c=7 d=1.02168 t=4257
ba3 qian2 	把錢	c=0 d=2.31755e-07 t=4257
ba3 qian2 fu4 diao4 	把錢付掉	c=1 d=2.32917e-06 t=4257
ba4 le5 	罷了	c=0 d=5.61539e-07 t=4257
bai3 ci4 	百次	c=3 d=0.88692 t=4257
bai3 dong4 	擺動	c=1 d=5.262e-06 t=4257
ban1 	搬	c=1 d=0.219808 t=4257
ban1 	班	c=1 d=0.159614 t=4257
ban3 	版	c=1 d=0.0225956 t=4257
ban3 ben3 	版本	c=1 d=0.292293 t=4257
ban4 	辦	c=1 d=0.375311 t=4257
ban4 fa3 	辦法	c=1 d=0.650509 t=4257
ban4 jiao3 	半腳	c=1 d=0.0124007 t=4257
ban4 luo3 	半裸	c=1 d=0.900325 t=4257
bang1 	幫	c=2 d=0.00891536 t=4257
bang1 ke4 hu4 	幫客戶	c=1 d=2.47362e-08 t=4257
bang1 mang2 	幫忙	c=0 d=0.020089 t=4257
bang1 ni3 	幫你	c=0 d=0.015277 t=4257
bang1 ni3 jian3 ya1 	幫你減壓	c=1 d=0.0742736 t=4257
bang1 ni3 ti2 gao1 	幫你提高	c=1 d=0.0792617 t=4257
bang1 ta1 	幫他	c=1 d=0.000133021 t=4257
bang1 wo3 men5 	幫我們	c=1 d=1.06238e-06 t=4257
bang1 zhu4 	幫助	c=3 d=0.0592276 t=4257
bang1 zhu4 ni3 	幫助你	c=1 d=6.74024e-07 t=4257
bao1 han2 	包含	c=4 d=0.283782 t=4257
bao3 	保	c=1 d=0.00173804 t=4257
bao3 bao3 	寶寶	c=1 d=0.0213864 t=4257
bao3 chi2 	保持	c=4 d=0.067251 t=4257
bao3 chi2 zhong1 li4 wei4 	保持中立位	c=1 d=2.90934e-05 t=4257
bao3 lu4 	寶路	c=2 d=0.0221075 t=4257
bao3 mi4 	保密	c=1 d=0.873716 t=4257
bao3 zheng4 	保證	c=2 d=0.000195698 t=4257
bao3 zheng4 you3 xiao4 	保證有效	c=1 d=6.67204e-05 t=4257
bao4 	豹	c=1 d=0.136014 t=4257
bao4 ming2 	報名	c=4 d=0.748271 t=4257
bao4 ming2 jie2 zhi3 	報名截止	c=1 d=4.59827e-08 t=4257
bao4 ming2 re4 xian4 	報名熱線	c=1 d=4.71468e-08 t=4257
bei1 jing3 	背景	c=1 d=0.00290884 t=4257
bei1 kuo4 ji1 	背闊肌	c=1 d=1.64162e-08 t=4257
bei1 mian4 	背面	c=1 d=1.38497e-08 t=4257
bei3 ji2 xing1 	北極星	c=1 d=4.29777e-07 t=4257
bei3 jing1 	北京	c=1 d=0.00571704 t=4257
bei3 jing1 de5 pu3 la1 ti2 	北京的普拉提	c=1 d=0.00010569 t=4257
bei4 	背	c=1 d=1.22223e-08 t=4257
bei4 dong4 	被動	c=2 d=0.00305832 t=4257
