# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1873
#@/user_id	657779a0-85c3-4e22-ba13-4b7898ef35e3
a5 	啊	c=2 d=1.98511 t=1040
ai4 de5 	愛的	c=0 d=0.1 t=1616
an1 	安	c=1 d=1 t=1702
an1 quan2 	安全	c=3 d=2.76969 t=1531
an1 zhuang1 	安裝	c=4 d=3.90219 t=1857
ang2 gui4 	昂貴	c=1 d=1 t=795
ba1 	吧	c=2 d=0.233075 t=1462
ba1 lei3 wu3 tuan2 	芭蕾舞團	c=2 d=1.63445 t=105
ba3 	把	c=1 d=1 t=852
ban1 dao4 	搬到	c=1 d=1 t=1737
ban3 ben3 	版本	c=2 d=1.44486 t=878
ban4 ge5 	半個	c=1 d=1 t=1497
ban4 gong1 zhuo1 	辦公桌	c=1 d=1 t=1451
bang1 	幫	c=1 d=1 t=562
bang1 ni3 	幫你	c=1 d=1 t=879
bang1 zhu4 	幫助	c=1 d=1 t=563
bao1 	包	c=1 d=1 t=1860
bao1 han2 	包含	c=1 d=0.263654 t=397
bao1 kuo4 	包括	c=1 d=1 t=617
bao3 	寶	c=0 d=0.1 t=1008
bao3 chi2 	保持	c=0 d=0.1 t=1317
bao3 chi2 zhong1 li4 wei4 	保持中立位	c=1 d=1 t=1318
ben3 	本	c=2 d=1.03005 t=938
ben3 shen1 	本身	c=1 d=1 t=367
bi3 	比	c=1 d=1 t=801
bi4 xu1 	必須	c=1 d=0.276604 t=596
bian3 	扁	c=1 d=1 t=1381
bian4 hua4 	變化	c=1 d=1 t=221
bian4 shi4 	變式	c=2 d=1.82283 t=1547
biao1 zhun3 	標準	c=3 d=1.77296 t=589
biao3 	表	c=2 d=1.012 t=1047
biao3 ceng2 	表層	c=0 d=0.1 t=1111
biao3 ceng2 ji1 rou4 	表層肌肉	c=1 d=1 t=1112
biao3 xian4 	表現	c=1 d=1 t=49
bie2 de5 	別的	c=1 d=1 t=175
bie2 ren2 	別人	c=0 d=0.1 t=445
bie2 ren2 tong1 guo4 	別人通過	c=1 d=1 t=446
bing4 	並	c=2 d=1.68729 t=628
bing4 qie3 	並且	c=11 d=1.30343 t=1772
bing4 qie3 shi4 	並且是	c=1 d=1 t=376
bo2 shi4 	博士	c=0 d=0.1 t=85
bu2 shi4 	不是	c=1 d=1 t=1000
bu4 	不	c=1 d=1.04609 t=769
bu4 dai4 	不帶	c=0 d=0.1 t=300
bu4 dai4 biao3 wo3 men5 	不帶表我們	c=1 d=1 t=301
bu4 dan4 	不但	c=1 d=1 t=430
bu4 dao4 de2 	不道德	c=1 d=1 t=487
bu4 duan4 de5 	不斷的	c=1 d=1 t=598
bu4 dui4 	不對	c=1 d=1 t=920
bu4 dui4 cheng4 	不對稱	c=1 d=1 t=31
bu4 jiao1 	不交	c=1 d=1 t=303
bu4 liang2 ying3 xiang3 	不良影響	c=1 d=1 t=1183
bu4 pian1 	不偏	c=0 d=0.1 t=240
bu4 pian1 xiang4 	不偏向	c=1 d=1 t=241
bu4 ren4 ke3 	不認可	c=1 d=1 t=604
bu4 tong2 yan2 se4 	不同顏色	c=0 d=0.1 t=880
bu4 yao1 cuo4 guo4 	不要錯過	c=1 d=1 t=1674
bu4 ying1 	不應	c=0 d=0.1 t=527
bu4 yong4 	不用	c=1 d=1.09005 t=1030
bu4 zai4 	不在	c=1 d=1 t=1755
bu4 zhi1 dao4 	不知道	c=1 d=1 t=1011
cai2 	才	c=0 d=0.1 t=195
cai2 	材	c=1 d=1 t=1816
cai2 ding4 le5 	才定了	c=1 d=1 t=196
cai2 liao4 	材料	c=1 d=1 t=819
cai2 neng2 	才能	c=1 d=1 t=460
cai2 you3 	纔有	c=0 d=0.1 t=1035
cai2 you3 ke4 	纔有課	c=1 d=1 t=1036
cai3 se4 	彩色	c=1 d=1 t=1580
can1 jia1 	參加	c=2 d=1.89818 t=651
ce4 	側	c=2 d=1.72637 t=1366
ce4 cheng1 	側撐	c=1 d=1 t=1377
ce4 shen1 zhan3 	側伸展	c=1 d=1 t=1284
ce4 ti1 	側踢	c=2 d=1.70117 t=1353
ce4 ti1 	測踢	c=1 d=1 t=1272
ce4 wan1 	側彎	c=1 d=1 t=37
ce4 wo4 	側臥	c=1 d=1 t=1351
cha2 shou1 	查收	c=4 d=1.0361 t=1817
cha2 shou1 fu4 jian4 	查收附件	c=1 d=1 t=169
chang2 jian4 wen4 ti2 	常見問題	c=2 d=1.87372 t=982
chang3 guan3 	場館	c=2 d=1.97531 t=1075
chao1 ji2 	超級	c=0 d=0.100009 t=1867
chao1 ji2 jian4 shen1 	超級健身	c=1 d=1 t=10
chao1 ji2 xi1 tie3 shi2 	超級吸鐵石	c=1 d=1 t=1868
che1 	車	c=0 d=0.197531 t=1425
che1 mao2 jie1 chu4 	車毛接觸	c=1 d=1 t=1421
che1 mao3 jie1 zheng4 	車鉚接證	c=1 d=1 t=1426
chen2 jian1 	沉肩	c=1 d=1 t=1784
cheng2 	成	c=1 d=1 t=1305
cheng2 gong1 	成功	c=1 d=1.00024 t=1571
cheng2 gong1 de5 	成功的	c=1 d=1 t=362
cheng2 li4 	成立	c=1 d=1.02299 t=550
cheng2 wei2 	成爲	c=1 d=1.02685 t=575
cheng2 wei2 hui4 yuan2 	成爲會員	c=2 d=1.54696 t=467
cheng2 wei2 hui4 yuan2 lai2 	成爲會員來	c=1 d=1 t=433
chi2 xu4 	持續	c=1 d=1 t=600
chi2 you3 	持有	c=0 d=0.1 t=379
chong1 zu2 	充足	c=1 d=1 t=462
chong2 li3 	崇禮	c=4 d=1.19834 t=735
chong2 xin1 	重新	c=0 d=0.1 t=1124
chong2 xin1 zhu4 ce4 biao3 ge4 	重新註冊表個	c=1 d=1 t=1125
chong3 ai4 	寵愛	c=1 d=1 t=1627
chu1 	初	c=2 d=1.11136 t=1512
chu1 ban3 	出版	c=1 d=1 t=110
chu1 ji2 	初級	c=4 d=1.31249 t=1536
chu1 xian4 	出現	c=1 d=1 t=689
chu2 le5 	除了	c=1 d=0.372532 t=601
chu2 le5 pu3 la1 ti2 	除了普拉提	c=1 d=1 t=602
chu4 mo1 ping2 	觸摸屏	c=2 d=1.99501 t=2
chuan2 ren2 	傳人	c=1 d=1 t=1603
chuan2 tong3 	傳統	c=2 d=2.01001 t=853
chuan2 tong3 dong4 zuo4 	傳統動作	c=1 d=1 t=846
chuang2 	牀	c=2 d=1.11253 t=1707
chuang4 shi3 	創始	c=1 d=1 t=810
chuang4 shi3 ren2 	創始人	c=1 d=1 t=751
ci4 	次	c=0 d=0.1 t=1193
cong2 	從	c=1 d=1 t=350
cun2 zai4 	存在	c=1 d=0.416268 t=538
cuo4 wei4 	錯位	c=1 d=1 t=39
cuo4 zi4 	錯字	c=1 d=1 t=1446
da2 dao4 	達到	c=1 d=1 t=666
da3 kai1 	打開	c=2 d=1.956 t=927
da3 yin4 	打印	c=3 d=1.52252 t=1578
da4 	大	c=2 d=0.117502 t=1620
da4 duo1 	大多	c=1 d=1 t=771
da4 jia1 	大家	c=1 d=1 t=1694
da4 lu4 	大陸	c=0 d=0.1 t=391
da4 shi1 	大師	c=1 d=1 t=1607
da4 tu2 di4 	大徒弟	c=1 d=1 t=1621
da4 xue2 	大學	c=1 d=1.09005 t=84
dai4 	帶	c=3 d=2.66807 t=1240
dai4 biao3 	代表	c=1 d=1.00867 t=697
dan1 	單	c=1 d=1 t=739
dan1 fo2 	丹佛	c=0 d=0.1 t=80
dan1 shou3 	單手	c=1 d=1 t=1150
dan1 tui3 	單腿	c=1 d=0.635045 t=1364
dan1 tui3 hua4 quan1 	單腿畫圈	c=1 d=1 t=1365
dan1 tui3 shen1 zhan3 	單腿伸展	c=1 d=1 t=1205
dan1 tui3 ti1 	單腿踢	c=1 d=1 t=1216
dang1 	當	c=1 d=1 t=626
dang1 guo4 	當過	c=1 d=1 t=1723
dang1 shi2 	當時	c=1 d=1 t=814
dang3 an4 	檔案	c=0 d=0.1 t=1434
dang3 an4 li3 	檔案裏	c=1 d=1 t=1435
dao3 shi1 	導師	c=3 d=1.41093 t=1797
dao3 shi1 jie4 shao4 	導師介紹	c=1 d=1 t=79
dao4 	到	c=2 d=1.71892 t=693
dao4 huo4 	到貨	c=0 d=0.1 t=188
dao4 huo4 qi1 	到貨期	c=1 d=1 t=189
dao4 li4 	倒立	c=3 d=2.93124 t=1229
dao4 shi2 	到時	c=1 d=1 t=1464
de2 dao4 	得到	c=3 d=2.49655 t=641
de5 	的	c=46 d=3.88101 t=1818
de5 biao1 zhun3 	的標準	c=1 d=0.533612 t=537
de5 dai4 biao3 	的代表	c=2 d=1.27117 t=470
de5 fa1 zhan3 	的發展	c=1 d=1 t=276
de5 gong1 zuo4 	的工作	c=1 d=1 t=435
de5 hang2 ye4 	的行業	c=1 d=1 t=481
de5 hui4 fei4 	的會費	c=1 d=1 t=290
de5 hui4 yuan2 	的會員	c=1 d=1 t=319
de5 jian4 kang1 	的健康	c=1 d=1 t=250
de5 jiao4 lian4 	的教練	c=1 d=1 t=356
de5 jie2 gou4 	的結構	c=1 d=1 t=972
de5 jie2 he2 	的結合	c=1 d=1 t=1501
de5 jing1 yan4 he2 	的經驗和	c=1 d=1 t=463
de5 pei2 xun4 	的培訓	c=2 d=1.7827 t=415
de5 ren2 	的人	c=1 d=1 t=330
de5 shi2 hou4 	的時候	c=0 d=0.1 t=191
de5 shi2 jian4 	的實踐	c=1 d=1 t=459
de5 tui1 guang3 	的推廣	c=1 d=1 t=511
de5 xing2 wei2 	的行爲	c=1 d=1 t=493
de5 zhi1 chi2 	的支持	c=1 d=1 t=505
deng1 	登	c=1 d=1 t=325
deng3 deng3 	等等	c=1 d=1 t=41
di3 	底	c=0 d=0.1 t=1329
di4 	第	c=1 d=1 t=1131
di4 dian3 	地點	c=3 d=1.96605 t=1059
di4 er4 dai4 	第二代	c=1 d=1 t=1602
di4 fang1 	地方	c=0 d=0.1 t=1586
di4 fang1 xie3 	地方寫	c=1 d=1 t=1587
di4 qu1 	地區	c=2 d=2.10916 t=400
di4 san1 fang1 	第三方	c=1 d=0.928298 t=427
di4 san1 fang1 ren4 zheng4 	第三方認證	c=1 d=1 t=428
di4 yi1 dai4 	第一代	c=1 d=1 t=1618
di4 yi1 pian1 	第一篇	c=1 d=1 t=1133
dian3 	點	c=2 d=1.99501 t=1030
dian3 de5 	點的	c=1 d=1 t=162
